Designator,Mid X,Mid Y,Rotation,Layer
LED71,225.1957,301.346,335.0,top
LED72,194.7508,314.4786,338.333,top
LED73,163.5938,325.8188,341.667,top
LED74,131.8301,335.3283,345.0,top
LED75,99.5673,342.9747,348.333,top
LED76,66.9144,348.7323,351.667,top
LED77,33.982,352.5815,355.0,top
LED78,0.8815,354.5094,358.333,top
LED79,0.0094,384.5449,358.5,top
LED8,1.9621,54.1725,356.25,top
LED80,31.3787,382.9009,355.5,top
LED81,62.619,379.6175,352.5,top
LED82,93.6446,374.7035,349.5,top
LED83,124.3705,368.1725,346.5,top
LED84,154.7125,360.0424,343.5,top
LED85,184.5874,350.3354,340.5,top
LED86,213.9133,339.0783,337.5,top
LED87,242.6099,326.3017,334.5,top
LED88,270.5985,312.0408,331.5,top
LED89,284.9133,338.4053,331.5,top
LED9,0.004,84.3394,357.0,top
LED90,255.5252,353.3793,334.5,top
LED91,225.3938,366.7946,337.5,top
LED92,194.6016,378.6147,340.5,top
LED93,163.2329,388.807,343.5,top
LED94,131.3738,397.3436,346.5,top
LED95,99.1116,404.2011,349.5,top
LED96,66.5348,409.3608,352.5,top
LED97,33.7325,412.8085,355.5,top
LED98,0.7947,414.5347,358.5,top
LED99,0.0097,444.5636,358.636,top
MH1,-9.4468,16.7505,180.0,bottom
MH2,-9.4468,452.7505,180.0,bottom
MH3,-7.6968,158.5905,180.0,bottom
MH4,-7.6968,306.4305,180.0,bottom
MH5,94.8906,-11.2066,180.0,bottom
MH6,164.295,112.5055,180.0,bottom
MH7,238.215,240.5387,180.0,bottom
MH8,312.8906,366.3805,180.0,bottom
